Day,sustainability
2014-12-21,25
2014-12-22,41
2014-12-23,36
2014-12-24,23
2014-12-25,14
2014-12-26,19
2014-12-27,23
2014-12-28,23
2014-12-29,31
2014-12-30,32
2014-12-31,31
2015-01-01,19
2015-01-02,33
2015-01-03,27
2015-01-04,34
2015-01-05,59
2015-01-06,61
2015-01-07,66
2015-01-08,65
2015-01-09,59
2015-01-10,33
2015-01-11,41
2015-01-12,70
2015-01-13,71
2015-01-14,76
2015-01-15,73
2015-01-16,61
2015-01-17,32
2015-01-18,45
2015-01-19,69
2015-01-20,79
2015-01-21,73
2015-01-22,77
2015-01-23,56
2015-01-24,34
2015-01-25,41
2015-01-26,72
2015-01-27,77
2015-01-28,76
2015-01-29,76
2015-01-30,60
2015-01-31,32
2015-02-01,51
2015-02-02,74
2015-02-03,80
2015-02-04,82
2015-02-05,82
2015-02-06,71
2015-02-07,42
2015-02-08,48
2015-02-09,84
2015-02-10,78
2015-02-11,80
2015-02-12,77
2015-02-13,69
2015-02-14,36
2015-02-15,41
2015-02-16,72
2015-02-17,86
2015-02-18,76
2015-02-19,74
2015-02-20,63
2015-02-21,37
2015-02-22,47
2015-02-23,82
2015-02-24,86
2015-02-25,77
2015-02-26,74
2015-02-27,66
2015-02-28,36
2015-03-01,53
2015-03-02,86
2015-03-03,91
2015-03-04,90
2015-03-05,87
2015-03-06,70
2015-03-07,42
2015-03-08,52
2015-03-09,87
2015-03-10,88
2015-03-11,91
2015-03-12,78
2015-03-13,72
2015-03-14,40
2015-03-15,53
2015-03-16,91
2015-03-17,84
2015-03-18,88
2015-03-19,86
2015-03-20,64
2015-03-21,43
2015-03-22,56
2015-03-23,86
2015-03-24,92
2015-03-25,94
2015-03-26,84
2015-03-27,67
2015-03-28,41
2015-03-29,51
2015-03-30,85
2015-03-31,82
2015-04-01,82
2015-04-02,74
2015-04-03,54
2015-04-04,35
2015-04-05,38
2015-04-06,70
2015-04-07,82
2015-04-08,79
2015-04-09,80
2015-04-10,70
2015-04-11,45
2015-04-12,52
2015-04-13,82
2015-04-14,93
2015-04-15,85
2015-04-16,84
2015-04-17,70
2015-04-18,39
2015-04-19,57
2015-04-20,93
2015-04-21,95
2015-04-22,100
2015-04-23,94
2015-04-24,75
2015-04-25,43
2015-04-26,52
2015-04-27,84
2015-04-28,80
2015-04-29,84
2015-04-30,79
2015-05-01,66
2015-05-02,43
2015-05-03,52
2015-05-04,80
2015-05-05,83
2015-05-06,87
2015-05-07,80
2015-05-08,64
2015-05-09,37
2015-05-10,49
2015-05-11,83
2015-05-12,88
2015-05-13,88
2015-05-14,72
2015-05-15,69
2015-05-16,37
2015-05-17,46
2015-05-18,72
2015-05-19,79
2015-05-20,77
2015-05-21,74
2015-05-22,60
2015-05-23,36
2015-05-24,45
2015-05-25,59
2015-05-26,72
2015-05-27,71
2015-05-28,69
2015-05-29,60
2015-05-30,38
2015-05-31,44
2015-06-01,66
2015-06-02,75
2015-06-03,70
2015-06-04,65
2015-06-05,60
2015-06-06,32
2015-06-07,36
2015-06-08,70
2015-06-09,73
2015-06-10,68
2015-06-11,62
2015-06-12,57
2015-06-13,32
2015-06-14,41
2015-06-15,67
2015-06-16,65
2015-06-17,65
2015-06-18,63
2015-06-19,52
2015-06-20,32
2015-06-21,35
2015-06-22,60
2015-06-23,61
2015-06-24,62
2015-06-25,58
2015-06-26,49
2015-06-27,27
2015-06-28,40
2015-06-29,61
2015-06-30,58
2015-07-01,63
2015-07-02,59
2015-07-03,45
2015-07-04,28
2015-07-05,37
2015-07-06,66
2015-07-07,58
2015-07-08,66
2015-07-09,67
2015-07-10,50
2015-07-11,29
2015-07-12,35
2015-07-13,63
2015-07-14,68
2015-07-15,67
2015-07-16,59
2015-07-17,47
2015-07-18,31
2015-07-19,35
2015-07-20,70
2015-07-21,66
2015-07-22,63
2015-07-23,63
2015-07-24,53
2015-07-25,29
2015-07-26,37
2015-07-27,63
2015-07-28,64
2015-07-29,65
2015-07-30,64
2015-07-31,56
2015-08-01,30
2015-08-02,36
2015-08-03,66
2015-08-04,68
2015-08-05,67
2015-08-06,65
2015-08-07,52
2015-08-08,29
2015-08-09,40
2015-08-10,67
2015-08-11,69
2015-08-12,64
2015-08-13,71
2015-08-14,57
2015-08-15,34
2015-08-16,41
2015-08-17,65
2015-08-18,68
2015-08-19,69
2015-08-20,68
2015-08-21,56
2015-08-22,35
2015-08-23,45
2015-08-24,71
2015-08-25,78
2015-08-26,73
2015-08-27,76
2015-08-28,65
2015-08-29,39
2015-08-30,50
2015-08-31,78
2015-09-01,82
2015-09-02,79
2015-09-03,81
2015-09-04,66
2015-09-05,36
2015-09-06,45
2015-09-07,69
2015-09-08,87
2015-09-09,90
2015-09-10,91
2015-09-11,79
2015-09-12,39
2015-09-13,57
2015-09-14,91
2015-09-15,95
2015-09-16,90
2015-09-17,85
2015-09-18,78
2015-09-19,41
2015-09-20,53
2015-09-21,89
2015-09-22,95
2015-09-23,87
2015-09-24,86
2015-09-25,75
2015-09-26,39
2015-09-27,53
2015-09-28,89
2015-09-29,93
2015-09-30,90
2015-10-01,77
2015-10-02,71
2015-10-03,42
2015-10-04,57
2015-10-05,91
2015-10-06,93
2015-10-07,97
2015-10-08,92
2015-10-09,71
2015-10-10,44
2015-10-11,58
2015-10-12,93
2015-10-13,95
2015-10-14,93
2015-10-15,96
2015-10-16,81
2015-10-17,47
2015-10-18,62
2015-10-19,88
2015-10-20,93
2015-10-21,94
2015-10-22,89
2015-10-23,74
2015-10-24,39
2015-10-25,52
2015-10-26,89
2015-10-27,99
2015-10-28,89
2015-10-29,90
2015-10-30,74
2015-10-31,43
2015-11-01,55
2015-11-02,99
2015-11-03,95
2015-11-04,99
2015-11-05,93
2015-11-06,76
2015-11-07,46
2015-11-08,60
2015-11-09,92
2015-11-10,96
2015-11-11,89
2015-11-12,87
2015-11-13,72
